DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-11,18566,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-12,19863,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-01,19877,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-02,18475,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-03,21810,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-04,22556,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-05,24718,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-06,25370,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2023-07,26870,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-01,23694,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-02,21019,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-03,24518,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-04,27080,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-05,28503,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-06,28327,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-07,30711,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-08,29686,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-09,29049,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-10,28315,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-11,24661,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2019-12,24205,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-01,23595,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-02,22531,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-03,16101,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-04,4708,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-05,5626,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-06,6902,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-07,13294,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-08,14772,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-09,12241,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-10,11507,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-11,9788,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2020-12,10363,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-01,9481,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-02,7836,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-03,8455,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-04,9538,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-05,11248,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-06,15317,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-07,21617,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-08,22261,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-09,21834,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-10,21524,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-11,20446,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2021-12,20056,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-01,16857,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-02,16254,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-03,20536,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-04,22044,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-05,24275,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-06,23583,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-07,26687,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-08,26363,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-09,24946,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-10,23833,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-11,20410,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2022-12,20147,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-01,19292,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-02,18458,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-03,21410,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-04,23187,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-05,25224,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-06,25071,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BE,2023-07,26841,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-01,4990,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-02,4529,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-03,5108,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-04,5539,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-05,7053,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-06,10775,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-07,12911,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-08,12911,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-09,9908,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-10,6027,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-11,4931,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2019-12,5187,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-01,5261,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-02,4923,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-03,3551,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-04,931,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-05,1521,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-06,2495,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-07,5026,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-08,5396,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-09,4429,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-10,3395,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-11,2265,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2020-12,2579,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-01,2229,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-02,1756,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-03,2072,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-04,2459,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-05,2796,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-06,4441,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-07,7663,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-08,8808,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-09,6855,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-10,4946,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-11,3694,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2021-12,4188,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-01,3896,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-02,3337,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-03,3920,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-04,5047,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-05,5834,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-06,7508,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-07,9487,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-08,9440,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-09,7698,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-10,5708,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-11,4486,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2022-12,4853,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-01,4918,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-02,4406,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-03,5135,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-04,5640,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-05,6362,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-06,8683,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,BG,2023-07,10294,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-01,35228,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-02,33206,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-03,37157,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-04,36308,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-05,37384,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-06,37872,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-07,39715,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-08,38536,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-09,37735,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-10,36833,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-11,30264,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2019-12,33464,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-01,34629,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-02,33073,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-03,20060,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-04,1936,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-05,2842,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-06,6319,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-07,15326,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-08,18023,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-09,14364,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-10,12137,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-11,7669,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2020-12,9804,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-01,9262,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-02,7117,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-03,8434,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-04,10205,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-05,11623,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-06,15040,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-07,24558,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-08,26485,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-09,25000,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-10,26299,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-11,21184,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2021-12,24108,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-01,23316,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-02,23187,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-03,27553,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-04,29787,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-05,32048,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-06,32126,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-07,35233,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-08,34835,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-09,33202,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-10,32928,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-11,26743,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2022-12,30658,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,CH,2023-01,29888,
